iter	Passed	Remaining
0	8	802
1	8	434
2	9	309
3	10	243
4	10	205
5	11	180
6	12	162
7	12	149
8	13	139
9	14	130
10	15	122
11	15	116
12	16	111
13	17	106
14	18	102
15	18	98
16	19	95
17	20	92
18	20	89
19	21	86
20	22	83
21	23	81
22	23	79
23	24	77
24	25	75
25	25	73
26	26	71
27	27	69
28	27	68
29	28	66
30	29	65
31	29	63
32	30	61
33	31	60
34	31	59
35	32	57
36	32	56
37	33	54
38	34	53
39	34	51
40	35	50
41	35	48
42	35	47
43	36	46
44	37	45
45	37	44
46	38	43
47	39	42
48	39	41
49	40	40
50	40	39
51	41	38
52	41	37
53	42	36
54	42	34
55	43	33
56	43	33
57	44	32
58	44	31
59	45	30
60	45	29
61	46	28
62	47	27
63	47	26
64	48	25
65	48	25
66	49	24
67	49	23
68	50	22
69	50	21
70	51	21
71	51	20
72	52	19
73	53	18
74	53	17
75	54	17
76	54	16
77	55	15
78	55	14
79	56	14
80	56	13
81	57	12
82	57	11
83	58	11
84	58	10
85	59	9
86	59	8
87	60	8
88	60	7
89	61	6
90	61	6
91	62	5
92	62	4
93	63	4
94	63	3
95	64	2
96	64	1
97	65	1
98	65	0
99	66	0
