iter	Passed	Remaining
0	148	148249
1	149	74449
2	149	49814
3	150	37493
4	151	30224
5	152	25290
6	153	21753
7	154	19116
8	154	17046
9	156	15460
10	157	14124
11	158	13009
12	158	12070
13	159	11255
14	160	10549
15	161	9924
16	162	9384
17	162	8892
18	163	8464
19	165	8096
20	166	7771
21	167	7441
22	168	7157
23	169	6878
24	170	6630
25	170	6394
26	171	6181
27	172	5979
28	173	5792
29	174	5627
30	174	5462
31	175	5309
32	176	5178
33	177	5041
34	178	4914
35	178	4790
36	181	4711
37	181	4607
38	182	4503
39	183	4402
40	184	4313
41	185	4222
42	185	4134
43	186	4052
44	187	3975
45	188	3901
46	188	3831
47	189	3761
48	190	3698
49	191	3633
50	192	3577
51	192	3518
52	193	3464
53	195	3417
54	195	3365
55	196	3313
56	197	3263
57	198	3219
58	199	3174
59	199	3129
60	202	3117
61	203	3076
62	204	3034
63	204	2993
64	205	2955
65	206	2920
66	207	2886
67	208	2850
68	208	2816
69	211	2805
70	211	2773
71	212	2742
72	213	2712
73	214	2681
74	214	2651
75	215	2623
76	216	2595
77	217	2568
78	218	2544
79	219	2520
80	219	2495
81	220	2470
82	220	2441
83	221	2418
84	222	2395
85	223	2372
86	223	2350
87	225	2339
88	226	2320
89	227	2299
90	228	2281
91	229	2260
92	229	2239
93	230	2221
94	231	2202
95	231	2183
96	232	2166
97	233	2149
98	234	2133
99	235	2115
100	235	2098
101	236	2081
102	237	2066
103	237	2049
104	238	2033
105	239	2022
106	240	2007
107	241	1992
108	241	1977
109	242	1963
110	243	1948
111	243	1934
112	244	1920
113	245	1907
114	246	1893
115	246	1881
116	247	1866
117	247	1853
118	248	1840
119	249	1829
120	250	1819
121	251	1806
122	251	1796
123	252	1784
124	253	1773
125	254	1762
126	254	1752
127	255	1742
128	256	1734
129	257	1723
130	258	1712
131	258	1702
132	259	1693
133	260	1683
134	261	1675
135	262	1666
136	262	1656
137	263	1647
138	264	1639
139	265	1630
140	266	1621
141	266	1611
142	267	1601
143	267	1592
144	268	1583
145	269	1579
146	270	1571
147	271	1563
148	272	1555
149	273	1548
150	273	1540
151	274	1533
152	275	1525
153	276	1518
154	277	1511
155	277	1503
156	278	1495
157	279	1488
158	280	1482
159	280	1474
160	281	1467
161	282	1459
162	282	1452
163	283	1445
164	285	1443
165	286	1437
166	286	1430
167	287	1423
168	288	1420
169	290	1418
170	291	1412
171	292	1405
172	292	1399
173	295	1400
174	296	1396
175	297	1390
176	297	1384
177	298	1377
178	299	1373
179	301	1371
180	301	1365
181	302	1361
182	303	1356
183	304	1351
184	305	1345
185	305	1339
186	306	1334
187	307	1329
188	308	1323
189	309	1318
190	310	1314
191	311	1308
192	311	1303
193	312	1298
194	313	1293
195	314	1288
196	315	1286
197	316	1282
198	317	1277
199	318	1272
200	318	1268
201	319	1263
202	320	1258
203	321	1253
204	322	1249
205	322	1244
206	323	1239
207	324	1234
208	324	1229
209	325	1224
210	326	1220
211	327	1215
212	327	1211
213	328	1207
214	329	1203
215	331	1202
216	332	1198
217	332	1193
218	333	1190
219	334	1185
220	335	1181
221	335	1176
222	336	1172
223	337	1167
224	337	1163
225	338	1159
226	339	1155
227	339	1150
228	340	1147
229	341	1143
230	342	1139
231	342	1135
232	343	1132
233	344	1128
234	346	1128
235	347	1124
236	348	1120
237	348	1117
238	349	1113
239	350	1109
240	351	1105
241	351	1102
242	352	1098
243	353	1095
244	354	1092
245	355	1088
246	356	1085
247	356	1081
248	357	1079
249	358	1075
250	359	1072
251	360	1068
252	361	1067
253	362	1063
254	362	1060
255	363	1056
256	364	1053
257	365	1050
258	365	1046
259	366	1043
260	367	1040
261	368	1037
262	368	1033
263	369	1031
264	370	1027
265	371	1024
266	372	1021
267	372	1018
268	373	1015
269	374	1012
270	375	1009
271	377	1009
272	377	1006
273	378	1002
274	379	999
275	380	997
276	380	994
277	381	991
278	382	988
279	383	985
280	383	982
281	384	979
282	385	975
283	387	976
284	388	973
285	389	971
286	389	968
287	391	967
288	392	965
289	393	962
290	393	959
291	394	957
292	396	955
293	397	953
294	398	951
295	399	949
296	399	946
297	400	943
298	401	941
299	402	938
300	402	935
301	403	933
302	404	930
303	405	927
304	406	926
305	407	924
306	408	921
307	409	919
308	409	916
309	410	913
310	411	911
311	411	908
312	412	905
313	413	903
314	414	901
315	415	899
316	416	897
317	417	894
318	417	892
319	418	889
320	419	887
321	420	884
322	422	884
323	423	882
324	423	880
325	424	877
326	424	874
327	425	872
328	426	870
329	427	868
330	428	865
331	429	863
332	429	860
333	430	859
334	431	856
335	432	854
336	433	852
337	433	849
338	434	847
339	435	845
340	436	844
341	437	842
342	438	840
343	439	838
344	440	835
345	440	833
346	441	831
347	442	828
348	442	826
349	443	823
350	444	821
351	445	819
352	445	816
353	446	814
354	447	812
355	448	810
356	448	808
357	449	806
358	450	803
359	452	804
360	453	802
361	454	801
362	455	799
363	456	797
364	457	795
365	457	793
366	458	790
367	459	789
368	460	787
369	461	786
370	462	784
371	463	782
372	464	780
373	464	778
374	466	777
375	468	776
376	469	775
377	469	773
378	470	771
379	471	769
380	472	767
381	472	765
382	474	764
383	475	762
384	475	760
385	476	758
386	477	756
387	478	754
388	479	752
389	483	755
390	484	753
391	484	752
392	485	750
393	486	748
394	487	746
395	488	744
396	490	745
397	491	743
398	493	743
399	495	743
400	496	741
401	500	744
402	501	742
403	502	741
404	504	740
405	505	739
406	507	738
407	507	737
408	509	735
409	510	734
410	511	733
411	512	731
412	513	730
413	515	729
414	516	727
415	517	725
416	530	741
417	531	740
418	532	738
419	533	736
420	534	734
421	534	732
422	536	731
423	536	729
424	537	727
425	538	725
426	539	723
427	540	721
428	552	735
429	553	733
430	554	731
431	555	729
432	555	727
433	557	727
434	558	725
435	559	723
436	565	728
437	567	727
438	568	726
439	570	725
440	571	724
441	574	725
442	575	723
443	577	722
444	577	720
445	579	720
446	580	718
447	581	716
448	582	714
449	583	712
450	589	717
451	589	715
452	590	713
453	591	711
454	592	709
455	593	707
456	594	705
457	594	703
458	612	722
459	613	720
460	614	718
461	615	716
462	616	714
463	616	712
464	617	710
465	618	708
466	621	709
467	622	707
468	623	705
469	623	703
470	624	701
471	625	699
472	627	698
473	628	697
474	667	738
475	668	736
476	670	734
477	671	733
478	672	731
479	673	729
480	674	727
481	675	725
482	676	724
483	677	722
484	678	720
485	678	718
486	679	716
487	680	714
488	681	712
489	682	710
490	683	708
491	684	706
492	685	704
493	685	702
494	686	700
495	687	698
496	688	696
497	688	694
498	689	692
499	690	690
500	691	688
501	692	686
502	692	684
503	693	682
504	694	680
505	695	678
506	695	676
507	696	674
508	697	672
509	723	694
510	724	692
511	724	690
512	725	688
513	726	686
514	727	684
515	728	682
516	728	680
517	730	679
518	732	679
519	734	677
520	735	675
521	736	674
522	736	672
523	737	670
524	738	668
525	739	666
526	740	664
527	742	663
528	748	666
529	750	665
530	752	664
531	761	669
532	765	670
533	790	689
534	791	687
535	791	685
536	793	684
537	794	682
538	796	681
539	799	680
540	800	679
541	811	685
542	813	684
543	814	682
544	818	683
545	819	681
546	819	679
547	820	676
548	821	675
549	822	672
550	823	670
551	823	668
552	827	668
553	828	666
554	829	664
555	829	662
556	830	660
557	831	658
558	832	656
559	832	654
560	833	652
561	834	650
562	834	648
563	835	646
564	836	644
565	837	641
566	837	639
567	838	637
568	839	635
569	840	633
570	841	632
571	842	630
572	843	628
573	844	626
574	844	624
575	845	622
576	845	620
577	846	618
578	847	616
579	848	614
580	849	612
581	850	610
582	850	608
583	851	606
584	852	604
585	852	602
586	855	601
587	855	599
588	856	597
589	857	595
590	858	594
591	859	592
592	859	590
593	860	588
594	861	586
595	862	584
596	863	582
597	864	580
598	864	578
599	865	576
600	866	574
601	866	573
602	867	571
603	868	569
604	870	568
605	871	566
606	872	564
607	872	562
608	873	560
609	874	559
610	875	557
611	875	555
612	876	553
613	877	551
614	878	549
615	878	547
616	879	546
617	880	544
618	881	542
619	882	540
620	883	539
621	885	538
622	886	536
623	887	534
624	888	532
625	888	530
626	889	529
627	890	527
628	891	525
629	892	523
630	892	522
631	893	520
632	894	518
633	894	516
634	895	514
635	896	512
636	897	511
637	898	509
638	899	508
639	903	508
640	904	506
641	906	505
642	906	503
643	907	501
644	908	500
645	909	498
646	910	496
647	910	494
648	911	493
649	912	491
650	913	489
651	914	488
652	916	487
653	917	485
654	917	483
655	918	481
656	919	480
657	920	478
658	921	476
659	922	475
660	923	473
661	924	471
662	924	470
663	925	468
664	926	466
665	927	464
666	928	463
667	928	461
668	929	460
669	931	458
670	932	457
671	932	455
672	934	454
673	935	452
674	936	450
675	936	449
676	937	447
677	938	445
678	939	443
679	939	442
680	940	440
681	941	439
682	942	437
683	942	435
684	943	433
685	944	432
686	945	430
687	948	430
688	949	428
689	950	426
690	950	425
691	951	423
692	952	421
693	953	420
694	953	418
695	954	416
696	955	415
697	955	413
698	956	411
699	957	410
700	957	408
701	958	407
702	959	405
703	960	403
704	960	402
705	963	401
706	963	399
707	964	397
708	965	396
709	966	394
710	967	393
711	968	391
712	968	389
713	969	388
714	970	386
715	971	385
716	972	383
717	972	382
718	973	380
719	974	378
720	975	377
721	975	375
722	977	374
723	978	373
724	979	371
725	980	370
726	981	368
727	982	367
728	983	365
729	984	364
730	985	362
731	986	361
732	986	359
733	987	357
734	988	356
735	988	354
736	989	353
737	990	351
738	990	349
739	992	348
740	993	347
741	994	345
742	995	344
743	996	342
744	996	341
745	997	339
746	998	338
747	998	336
748	999	334
749	1000	333
750	1001	331
751	1001	330
752	1002	328
753	1002	327
754	1003	325
755	1004	324
756	1005	322
757	1006	321
758	1006	319
759	1007	318
760	1008	316
761	1009	315
762	1010	313
763	1011	312
764	1012	310
765	1013	309
766	1013	308
767	1014	306
768	1015	305
769	1016	303
770	1017	302
771	1017	300
772	1018	299
773	1019	297
774	1020	296
775	1021	294
776	1022	293
777	1023	292
778	1024	290
779	1025	289
780	1026	287
781	1026	286
782	1027	284
783	1028	283
784	1029	281
785	1030	280
786	1030	278
787	1031	277
788	1032	276
789	1033	274
790	1033	273
791	1034	271
792	1035	270
793	1036	268
794	1038	267
795	1039	266
796	1039	264
797	1040	263
798	1041	262
799	1042	260
800	1042	259
801	1043	257
802	1044	256
803	1045	254
804	1045	253
805	1046	251
806	1047	250
807	1048	249
808	1049	247
809	1049	246
810	1050	244
811	1051	243
812	1052	242
813	1053	240
814	1054	239
815	1055	237
816	1056	236
817	1056	235
818	1057	233
819	1058	232
820	1058	230
821	1059	229
822	1060	228
823	1061	226
824	1061	225
825	1062	223
826	1063	222
827	1064	221
828	1065	219
829	1065	218
830	1067	217
831	1068	215
832	1069	214
833	1070	212
834	1070	211
835	1071	210
836	1072	208
837	1073	207
838	1074	206
839	1074	204
840	1076	203
841	1077	202
842	1077	200
843	1078	199
844	1079	197
845	1080	196
846	1080	195
847	1082	194
848	1083	192
849	1083	191
850	1084	189
851	1085	188
852	1086	187
853	1087	185
854	1087	184
855	1088	183
856	1089	181
857	1090	180
858	1091	179
859	1092	177
860	1093	176
861	1093	175
862	1094	173
863	1095	172
864	1096	171
865	1098	169
866	1098	168
867	1099	167
868	1100	165
869	1101	164
870	1101	163
871	1102	161
872	1103	160
873	1104	159
874	1105	157
875	1105	156
876	1106	155
877	1107	153
878	1108	152
879	1109	151
880	1110	150
881	1111	148
882	1113	147
883	1114	146
884	1114	144
885	1115	143
886	1116	142
887	1117	140
888	1118	139
889	1119	138
890	1120	137
891	1121	135
892	1122	134
893	1122	133
894	1123	131
895	1124	130
896	1125	129
897	1125	127
898	1126	126
899	1127	125
900	1128	124
901	1129	122
902	1130	121
903	1131	120
904	1131	118
905	1132	117
906	1133	116
907	1133	114
908	1134	113
909	1135	112
910	1135	110
911	1136	109
912	1137	108
913	1138	107
914	1139	105
915	1139	104
916	1140	103
917	1141	101
918	1142	100
919	1144	99
920	1144	98
921	1145	96
922	1146	95
923	1147	94
924	1147	93
925	1149	91
926	1149	90
927	1150	89
928	1151	87
929	1152	86
930	1152	85
931	1153	84
932	1154	82
933	1155	81
934	1155	80
935	1156	79
936	1157	77
937	1159	76
938	1160	75
939	1161	74
940	1161	72
941	1162	71
942	1163	70
943	1163	69
944	1164	67
945	1165	66
946	1166	65
947	1167	64
948	1168	62
949	1168	61
950	1169	60
951	1170	59
952	1171	57
953	1172	56
954	1174	55
955	1175	54
956	1175	52
957	1176	51
958	1178	50
959	1178	49
960	1179	47
961	1180	46
962	1180	45
963	1181	44
964	1182	42
965	1183	41
966	1184	40
967	1184	39
968	1185	37
969	1186	36
970	1187	35
971	1187	34
972	1190	33
973	1190	31
974	1191	30
975	1192	29
976	1193	28
977	1194	26
978	1194	25
979	1195	24
980	1196	23
981	1196	21
982	1197	20
983	1197	19
984	1198	18
985	1199	17
986	1200	15
987	1201	14
988	1202	13
989	1202	12
990	1203	10
991	1205	9
992	1206	8
993	1207	7
994	1208	6
995	1209	4
996	1209	3
997	1210	2
998	1211	1
999	1212	0
